Guid,Name,Type,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,AccountNumber,Website,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,IsPartner,IsCustomerPortal,Jigsaw,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,CustomerPriority__c,SLA__c,Active__c,NumberofLocations__c,UpsellOpportunity__c,SLASerialNumber__c,SLAExpirationDate__c,SBQQ__AssetQuantitiesCombined__c,SBQQ__CoTermedContractsCombined__c,SBQQ__ContractCoTermination__c,SBQQ__IgnoreParentContractedPrices__c,SBQQ__PreserveBundle__c,SBQQ__PriceHoldEnd__c,SBQQ__RenewalModel__c,SBQQ__RenewalPricingMethod__c,SBQQ__TaxExempt__c,SBQQ__CoTerminationEvent__c,test_field_1__c,MyExternalId__c
b7b8f087-9723-4d73-98c2-2b32ed7d7be6,XmtiFaOFcagIaTzXkCG,#N/A,62714 Annita Ridges,North Scott,North Carolina,#N/A,Norfolk Island,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(840) 252-4641,(276) 251-1168,#N/A,https://JygEbKVHiy.com/eYTqw,#N/A,#N/A,33.0020017932542,622092,#N/A,#N/A,WPVCr,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
ffadbaef-e041-410c-88d5-a3b2ba529c2c,acYfqZmGMhmTeebeTVC,#N/A,50926 Tomika Manor,Vandervortport,Arizona,#N/A,Wallis and Futuna,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(117) 142-4816,(336) 567-0881 x3203,#N/A,https://QKcVpQglIq.com/agjPB,#N/A,#N/A,65.62548646412426,20190,#N/A,#N/A,jdWmj,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
14f4ccf3-3d7e-437d-ad7e-74bf61a2dd6d,aAOFZzIlqrKnI,#N/A,44183 Beier Drive,Port Gearldine,South Carolina,#N/A,United States of America,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,8663447003,(770) 608-1327 x2992,#N/A,https://LyClJmtJOk.com/ApmQQ,#N/A,Banking,17.463033077585404,923,#N/A,#N/A,zWspN,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
bd9e7c21-440c-4c96-b9a4-9a0ea5bf9897,VPyaVpRAYtuSg,#N/A,907 Marquardt Light,Durganville,Maryland,#N/A,Jordan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7250018403,(361) 312-9141,#N/A,https://HmMIZMdklB.com/hBwGr,#N/A,Banking,13.052159673631573,71,#N/A,#N/A,DgdWr,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
7242d03f-e6f4-457f-b417-c42e2ec6ea54,myiqrzwQizMpgSqRKgM,#N/A,661 Daugherty Club,Starkfort,Nebraska,#N/A,Mozambique,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(823) 247-0132,(301) 203-7540 x8843,#N/A,https://geaCTQnirY.com/dofrv,#N/A,#N/A,18.61023686998233,799126,#N/A,#N/A,KYhVE,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
8da2e7d0-7a70-4d4f-a676-e6b647636cde,Test Account 016-002,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
d1b11c1d-b52d-48aa-96ef-7dd6cd7eb701,JKOHmsNKufPYdtXDzmP,#N/A,1183 Labadie Spurs,Skilesview,Iowa,#N/A,Spain,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(900) 129-2028 q0006,(641) 361-1889 x1853,#N/A,https://cNpSyzkcaM.com/qcMdk,#N/A,#N/A,46.338613643236144,213936,#N/A,#N/A,JDNwy,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
66e45de9-e214-424c-a63b-4b3e4dccfb94,QQnWrKNaTJoPReeytEs,#N/A,3840 Mayer Mountains,Ondrickaberg,Florida,#N/A,Northern Mariana Islands,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(285) 856-8379 t8001,(166) 236-3315,#N/A,https://gcaaqvvtmfzipa/wroyk,#N/A,#N/A,0.22207768060558694,497777,#N/A,#N/A,egkZU,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
7a994af6-75ff-468c-929f-6f86846cf9f7,ZnfFibdSKyTAfQNAWlq,#N/A,247 Reilly Coves,Port Mack,Nevada,#N/A,South Africa,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,(719) 024-8123 Z5161,(812) 716-1730 x2934,#N/A,https://QUEhDlSKBP.com/jJTwX,#N/A,#N/A,95.80937052999421,146792,#N/A,#N/A,igoNx,#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,#N/A,Same,No,#N/A,#N/A,#N/A
77dbc23f-4b20-4649-b786-8c2b1f9236d9,Browsebug,Customer,600 N Dairy Ashford Rd,Houston,TX,77079-1100,United States,#N/A,#N/A,#N/A,P.O. BOX 2197,Houston,TX,77252-2197,US,#N/A,#N/A,#N/A,1.281.293.1000,#N/A,#N/A,#N/A,#N/A,Technology,3.0935E10,#N/A,#N/A,#N/A,"Optimetrics, LLC is the leader in Technology in Houston",#N/A,#N/A,false,false,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,false,false,Never,false,true,#N/A,Contract Based,Same,No,#N/A,#N/A,#N/A
